t_ms,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
1694.806,0,-2,-2,0,0,-1,-1,-1
1694.806,-2,0,2,0,-1,0,-2,-1
1695.826,1,1,-3,1,-1,0,1,0
1695.826,-1,1,0,1,0,-1,0,1
1717.597,-1,0,0,-1,0,0,0,1
1717.597,-1,1,-4,-1,-3,0,0,-3
1718.618,1,1,-1,-1,-2,-2,0,-1
1718.618,-1,1,-2,-2,-1,0,-1,1
1732.014,0,-1,0,0,-2,-1,-2,0
1732.014,2,-2,-1,0,1,-2,-1,-1
1738.957,0,1,-2,-1,0,3,0,1
1738.957,-1,-3,4,2,2,-1,1,3
1754.12,1,1,2,1,1,0,2,-1
1754.12,1,-2,0,-1,-1,0,0,-2
1757.008,-1,0,-4,-1,1,-1,-1,-1
1757.008,1,-4,-1,0,0,-1,0,-1
1783.615,1,-1,0,-2,-3,-1,-1,0
1783.615,0,-1,-1,0,-2,-1,-1,2
1793.78,0,-2,-1,-2,-1,0,-1,-1
1793.78,0,5,1,1,-1,1,0,1
1794.901,0,0,-2,0,-1,-1,-1,0
1794.901,-1,-1,1,0,0,1,1,-1
1798.157,-1,-2,-1,-3,0,-2,0,-2
1798.157,1,0,0,0,0,0,0,-1
1814.445,1,-1,-3,0,0,-1,0,1
1814.445,-3,-3,-1,2,1,1,0,-2
1816.968,-1,-4,3,2,-1,-1,0,-1
1816.968,1,1,-1,-2,-1,0,-2,-1
1837.928,-2,-1,-3,-1,0,1,-1,2
1837.928,0,-3,3,1,1,0,-1,0
1839.039,-2,0,5,0,1,-2,2,0
1839.039,-1,0,-4,1,-2,-1,-1,-2
1851.368,1,1,3,0,-3,1,-1,-1
1851.368,-2,-1,-3,-1,2,1,-1,0
1859.068,2,1,-3,1,0,0,2,1
1859.068,-2,-3,1,-1,0,-1,-1,-2
1874.184,-2,2,-3,-1,0,1,0,-1
1874.184,1,0,1,1,-3,-3,1,-1
1882.377,-2,0,0,-2,0,2,0,0
1882.377,-1,1,0,0,-1,0,-1,-1
1897.541,0,-1,1,1,1,-2,0,1
1897.541,0,-3,6,0,0,-1,1,0
1898.558,-1,-5,-1,-1,0,-1,-1,-1
1898.558,0,1,-2,-1,-2,-2,1,2
1919.784,0,0,0,0,0,0,0,-2
1919.784,0,2,-5,-1,-2,-1,-1,0
1921.11,-1,0,-3,-1,0,-2,0,0
1921.11,2,0,8,0,-2,1,1,1
1942.716,-1,-1,-2,-1,-1,0,-1,-2
1942.716,-1,0,-6,-1,1,-2,0,2
1942.716,1,1,1,2,1,1,-1,1
1942.716,0,4,-5,-2,-2,-3,-2,-3
1956.841,0,-7,6,3,0,-2,1,1
1956.841,1,1,1,2,0,1,0,-2
1956.841,-1,-1,-3,-1,-3,-1,0,0
1956.841,1,-2,-1,0,-1,2,0,0
1979.44,1,5,-4,-2,-4,-3,-2,-2
1979.44,0,-1,-3,-2,1,1,3,-1
1980.454,0,4,0,-4,-1,-1,-4,-2
1980.454,-1,1,0,-1,1,-1,-3,0
1994.306,-1,-6,6,1,0,-1,2,1
1994.306,-1,4,2,-1,-4,-1,1,0
1994.306,2,1,-1,-1,-1,0,-1,-1
1994.306,1,-2,4,1,1,0,-2,-1
2016.989,0,0,-2,-1,0,0,-1,0
2016.989,-1,-1,-3,0,0,0,-1,-1
2016.989,0,-1,0,1,-1,0,0,-2
2016.989,-1,0,-2,0,-1,-2,0,-2
2040.428,0,1,0,0,2,1,-1,-1
2040.428,-3,-1,-3,0,1,-2,0,0
2040.428,-1,2,-5,-2,-1,1,0,0
2040.428,-1,-1,4,4,0,-1,1,0
2054.324,-1,4,-4,-3,-2,-1,-3,-2
2054.324,-2,-1,0,-1,-2,-1,0,-1
2055.401,0,-1,-1,-1,1,-1,-3,1
2055.401,-2,0,-1,-1,-2,0,1,-2
2077.179,1,0,-1,0,-1,1,0,0
2077.179,1,-1,-1,0,-1,-2,-1,0
2077.179,-3,-1,0,-1,-2,-1,0,-1
2077.179,-2,1,0,-1,-1,-3,-1,0
2092.787,0,1,-5,-2,-2,-1,-2,-1
2092.787,-1,-3,0,0,-1,-1,1,-1
2099.043,0,0,-2,2,2,1,0,-1
2099.043,1,-1,5,-2,-1,2,-1,1
2113.803,-2,-4,3,1,0,-1,0,0
2113.803,-1,1,-1,0,-1,-3,-1,0
2114.957,0,-2,0,0,1,-3,1,-2
2114.957,0,0,-1,-2,-3,-1,-2,0
2145.147,0,-1,0,1,1,0,0,-1
2145.147,0,-1,-5,-3,-1,0,0,-1
2146.17,-2,-4,5,2,2,0,1,0
2146.17,0,-2,-3,-2,1,-1,-1,-1
2167.078,-2,0,5,2,0,1,-2,-2
2167.078,0,-2,-3,-1,1,0,0,0
2168.09,-1,2,-1,-1,-3,-3,1,0
2168.09,0,0,1,2,0,0,-3,0
2174.583,0,-4,-2,-1,-1,-3,-1,-1
2174.583,0,-1,-2,-2,1,1,-2,0
2174.583,-1,-1,-1,-1,0,-1,1,-1
2174.583,1,0,1,-2,-2,1,0,-1
2196.596,0,2,1,-2,0,0,0,-2
2196.596,0,1,-2,0,-2,-1,-1,-1
2197.904,1,1,-3,-2,-2,-3,0,-1
2197.904,1,2,3,4,0,-1,2,0
2211.32,0,-3,-1,0,0,1,-1,-2
2211.32,-3,-1,-2,-2,-2,-1,0,0
2219.602,1,1,1,0,-1,1,-1,1
2219.602,0,-2,-1,-2,-3,-2,-1,-1
2234.643,-1,0,-1,0,2,1,1,1
2234.643,-1,1,1,-1,-1,0,1,1
2235.667,-2,-1,0,0,-1,-1,-2,0
2235.667,0,-1,0,0,1,1,-1,-1
2257.128,-2,-1,-3,-1,-2,2,-1,-1
2257.128,0,1,3,-1,0,-1,-2,1
2257.128,0,-2,-2,0,-1,-2,-1,-1
2257.128,-2,-1,-1,0,1,0,0,1
2296.748,1,2,-5,-3,-3,-2,0,-1
2296.748,-3,-4,1,2,4,3,-1,-1
2296.748,0,2,-1,-2,0,1,2,-1
2296.748,-1,-3,0,1,-1,0,0,-1
2298.113,0,0,-3,0,-1,-2,-2,-2
2298.113,-1,-2,-2,-1,0,-2,-1,-1
2301.428,-1,1,-1,-2,0,-2,0,0
2301.428,1,1,0,1,0,-1,1,-1
2316.325,1,0,3,0,-1,0,1,0
2316.325,-2,0,2,1,-1,0,0,0
2317.375,0,0,0,2,-1,1,1,0
2317.375,-1,0,-3,-1,2,1,-1,0
2340.969,-2,-1,1,0,-1,0,1,0
2340.969,0,1,2,-1,0,0,1,1
2340.969,-1,-1,-4,-2,0,-2,-3,1
2340.969,0,0,3,1,0,-1,1,-1
2354.217,-3,-4,5,3,1,0,0,1
2354.217,0,2,-4,-2,-1,-1,0,0
2361.672,-1,-1,1,-1,0,0,-2,1
2361.672,0,-1,1,1,0,1,-2,0
2376.865,-3,-2,-1,-2,1,-2,1,0
2376.865,0,0,-2,-2,0,0,1,-1
2377.862,0,-1,2,1,-2,0,1,-1
2377.862,-1,1,-1,0,-1,0,-3,0
2399.826,2,1,-2,0,0,1,-1,0
2399.826,-1,-3,-4,-1,-1,-4,-1,-2
2400.872,-2,-2,3,-1,1,1,0,-1
2400.872,0,0,-2,-2,2,-3,2,1
2414.9,-1,1,-1,0,1,-1,0,2
2414.9,-1,-3,1,3,1,0,0,0
2415.906,0,0,-2,0,1,1,-1,-3
2415.906,2,2,-1,1,-1,-1,-2,1
