pc_t_ms,emg_t_ms,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
1317,2105,-3,-9,2,-2,4,-6,-9,0
1317,2105,-3,16,-3,-9,27,13,-1,-4
1339,2126,1,32,0,-3,31,38,3,8
1339,2126,3,22,-1,2,29,21,2,12
1341,2129,-3,-5,-2,-5,2,-6,-7,2
1341,2129,-5,17,-3,-2,26,14,-4,-2
1354,2142,4,33,3,8,32,32,0,5
1354,2142,2,22,1,6,31,20,2,8
1356,2143,-4,-5,-3,-4,1,-10,-7,0
1356,2143,-5,16,-3,-8,26,13,-1,-3
1377,2164,4,34,-1,9,31,30,4,5
1377,2164,3,22,0,8,31,19,0,5
1378,2167,-5,-4,1,-1,7,-9,-11,-1
1378,2167,-3,16,-1,-10,25,15,-2,-2
1399,2187,3,26,0,6,30,30,2,7
1399,2187,2,21,-1,5,29,19,2,10
1401,2188,-3,-2,0,-6,11,-4,-9,0
1401,2188,-4,17,-1,-7,27,14,1,-2
1414,2202,3,31,-1,3,31,31,1,10
1414,2202,4,20,-1,10,30,18,1,9
1416,2204,-5,-7,-1,-9,13,-9,-8,0
1416,2204,-4,17,-1,-2,32,14,2,-1
1428,2216,2,30,0,5,30,28,1,6
1428,2216,2,21,1,2,30,18,2,6
1437,2225,-4,-1,-3,-9,6,-5,-11,1
1437,2225,-3,16,2,-1,41,15,-2,-2
1452,2240,4,31,-1,-5,30,25,5,7
1452,2240,0,22,-1,7,34,18,3,8
1453,2241,-4,-7,-4,-12,10,-8,-7,-1
1453,2241,-4,16,1,-5,37,14,1,-2
1474,2262,0,28,0,6,30,26,1,8
1474,2262,1,21,0,6,33,18,4,9
1475,2264,-4,-4,-2,-6,8,-5,-9,-1
1476,2264,-2,17,5,-2,36,14,1,-1
1488,2275,1,32,-2,-7,32,29,1,7
1488,2275,0,21,-1,10,34,18,3,10
1496,2284,-2,-8,-1,-10,3,-8,-13,-4
1497,2284,-4,17,-1,-7,37,14,3,-2
1512,2299,1,28,-2,9,31,25,3,5
1512,2299,1,22,0,4,32,18,7,9
1513,2300,-3,-8,0,-9,8,-5,-12,-3
1513,2300,-2,17,-2,-2,36,14,5,-2
1534,2322,2,31,1,10,28,28,3,7
1534,2322,3,22,-1,8,33,18,5,9
1535,2323,-5,-15,1,-7,10,-10,-11,-6
1536,2323,-3,16,-3,-3,37,14,-1,-3
1556,2344,1,31,1,5,30,27,0,7
1556,2344,5,21,-2,12,33,18,3,10
1558,2346,-7,-13,-2,-9,13,-12,-10,-9
1558,2346,-1,16,4,-1,35,14,3,-2
1572,2359,1,34,-2,4,29,35,3,8
1572,2359,3,23,1,6,34,20,3,9
1573,2360,-5,-15,-2,-9,17,-13,-10,-10
1573,2360,-1,15,1,0,31,13,5,-2
1594,2382,1,29,-1,8,29,29,4,9
1594,2382,4,22,0,5,31,20,4,10
1596,2384,-5,-11,-3,-7,18,-16,-9,-10
1596,2384,-2,16,3,0,33,14,2,-1
1608,2396,4,30,-1,4,28,31,5,6
1608,2396,2,22,-1,7,31,20,6,9
1617,2405,-4,-10,-3,-12,22,-21,-8,-10
1617,2405,-3,16,-1,1,33,13,5,-1
1632,2419,2,27,2,8,27,25,-1,10
1632,2419,3,22,3,9,31,19,6,8
1633,2420,-4,-5,-1,-7,22,-15,-7,-10
1633,2420,-1,16,-2,-3,32,14,7,-2
1654,2442,2,27,1,7,27,27,4,8
1654,2442,1,22,-1,14,32,18,3,5
1656,2443,-6,-4,-3,-19,23,-11,-10,-9
1656,2443,1,16,-1,0,29,14,5,-2
1676,2465,0,25,0,3,28,30,3,7
1677,2465,3,22,1,9,32,19,4,7
